SECTOR,COMPANY,COUNTRY,TAX ID,MAIN FOCUS,Wikidata,Wikipedia url,WikidataURL
Mining,Rio Tinto,Australia / UK,96 004 458 404 (ABN),"Iron Ore, Aluminum, Copper, and Lithium.",Q821293,https://en.wikipedia.org/wiki/Rio_Tinto_Group,https://www.wikidata.org/wiki/Q821293
Mining,BHP Group,Australia,49 004 028 077 (ABN),"Iron Ore, Copper, Coal, Nickel, and Potash.",Q625713,https://en.wikipedia.org/wiki/BHP,https://www.wikidata.org/wiki/Q625713
Mining,Zijin Mining,China,91350000155042221X (USCC),"Copper, Gold, and Lithium (Lithium ""Argentina"").",Q202841,https://en.wikipedia.org/wiki/Zijin_Mining,https://www.wikidata.org/wiki/Q202841
Mining,China Shenhua Energy,China,9111000071093333XJ (USCC),World's largest Coal mining company; Power.,Q1073509,https://en.wikipedia.org/wiki/China_Shenhua_Energy,https://www.wikidata.org/wiki/Q1073509
Mining,Southern Copper Corporation,USA / Mexico,13-3849074 (EIN),One of the world's largest Copper producers.,Q7569806,https://en.wikipedia.org/wiki/Southern_Copper_Corporation,https://www.wikidata.org/wiki/Q7569806
Mining,Newmont Corporation,USA,84-0263435 (EIN),World's largest Gold producer; Copper.,Q1785405,https://en.wikipedia.org/wiki/Newmont_Corporation,https://www.wikidata.org/wiki/Q1785405
Mining,Agnico Eagle Mines,Canada,10006-2598-RT0001 (BN),"High-grade Gold mining (Canada, Finland, Mexico).",Q38676,https://en.wikipedia.org/wiki/Agnico_Eagle,https://www.wikidata.org/wiki/Q38676
Mining,Ma’aden (Saudi Arabian Mining Company),Saudi Arabia,1010164391 (CR Number),"Phosphate (Fertilizer), Aluminum, and Gold.",Q136990728,https://en.wikipedia.org/wiki/Ma'aden,https://www.wikidata.org/wiki/Q136990728
Mining,Grupo México,Mexico,GME0611277P6 (RFC),"Copper, Molybdenum, Silver, and Rail Transport.",Q623591,https://en.wikipedia.org/wiki/Grupo_M%C3%A9xico,https://www.wikidata.org/wiki/Q623591
Mining,Vale S.A.,Brazil,33.592.510/0001-54 (CNPJ),World's largest Iron Ore & Nickel producer.,Q583268,https://en.wikipedia.org/wiki/Vale_S.A.,https://www.wikidata.org/wiki/Q583268
Mining,Coal India,India,19AAACC0920P1ZN (GSTIN),Largest Coal producer globally (State-owned).,Q124976,https://en.wikipedia.org/wiki/Coal_India,https://www.wikidata.org/wiki/Q124976
Mining,Fortescue Metals Group,Australia,57 002 594 872 (ABN),Iron Ore and Green Hydrogen (Fortescue Energy).,Q1438957,https://en.wikipedia.org/wiki/Fortescue_Metals_Group,https://www.wikidata.org/wiki/Q1438957
Mining,Bayan Resources,Indonesia,02.433.110.0-091.000 (NPWP),High-calorie Coal mining and infrastructure.,,https://en.wikipedia.org/wiki/Bayan_Resources,https://www.wikidata.org/wiki/
Mining,Barrick Gold,Canada,10042-6136-RT0001 (BN),Gold and Copper (Tier One mining assets).,Q808908,https://en.wikipedia.org/wiki/Barrick_Gold,https://www.wikidata.org/wiki/Q808908
Mining,Anglo American,UK,GB 805 2374 88 (VAT),"Copper, Iron Ore, PGM (Platinum), Diamonds.",Q541451,https://en.wikipedia.org/wiki/Anglo_American_plc,https://www.wikidata.org/wiki/Q541451
Mining,Wheaton Precious Metals,Canada,85117-2348-RT0001 (BN),Precious Metals Streaming (Gold and Silver).,Q1747133,https://en.wikipedia.org/wiki/Wheaton_Precious_Metals,https://www.wikidata.org/wiki/Q1747133
Tech,Glencore,Switzerland,CHE-106.909.694 (Company Number),,Q182477,https://en.wikipedia.org/wiki/Nvidia,https://www.wikidata.org/wiki/Q182477
Tech,Nvidia,United States,94-2741749 (EIN),,Q2283,https://en.wikipedia.org/wiki/Microsoft,https://www.wikidata.org/wiki/Q2283
Tech,Microsoft,United States,91-1144442 (EIN),,Q312,https://en.wikipedia.org/wiki/Apple_Inc.,https://www.wikidata.org/wiki/Q312
Tech,Apple,United States,94-2404110 (EIN),,Q20800404,https://en.wikipedia.org/wiki/Alphabet_Inc.,https://www.wikidata.org/wiki/Q20800404
Tech,Alphabet (Google),United States,61-1767919 (EIN),,Q3884,https://en.wikipedia.org/wiki/Amazon_(company),https://www.wikidata.org/wiki/Q3884
Tech,Amazon,United States,91-1646860 (EIN),,Q380,https://en.wikipedia.org/wiki/Meta_Platforms,https://www.wikidata.org/wiki/Q380
Tech,Meta Platforms,United States,20-0075152 (EIN),,Q790060,https://en.wikipedia.org/wiki/Broadcom_Inc.,https://www.wikidata.org/wiki/Q790060
Tech,Broadcom,United States,35-2617337 (EIN),,Q713418,https://en.wikipedia.org/wiki/TSMC,https://www.wikidata.org/wiki/Q713418
Tech,TSMC,Taiwan,22099119 (Unified Business Number),,Q765530,https://en.wikipedia.org/wiki/Tesla,https://www.wikidata.org/wiki/Q765530
Tech,Tesla,United States,91-2197729 (EIN),,Q19900,https://en.wikipedia.org/wiki/Oracle_Corporation,https://www.wikidata.org/wiki/Q19900
Tech,Oracle,United States,94-2805249 (EIN),,Q907311,https://en.wikipedia.org/wiki/Netflix,https://www.wikidata.org/wiki/Q907311
Tech,Netflix,United States,77-0467272 (EIN),,Q552581,https://en.wikipedia.org/wiki/SAP,https://www.wikidata.org/wiki/Q552581
Tech,SAP,Germany,DE 143454214 (VAT),,Q297879,https://en.wikipedia.org/wiki/ASML_Holding,https://www.wikidata.org/wiki/Q297879
Tech,ASML,Netherlands,NL 803511111B01 (VAT),,Q20718,https://en.wikipedia.org/wiki/Samsung_Electronics,https://www.wikidata.org/wiki/Q20718
Tech,Samsung Electronics,South Korea,124-81-00998 (Business Registration Number),,Q37156,https://en.wikipedia.org/wiki/IBM,https://www.wikidata.org/wiki/Q37156
Tech,IBM,United States,13-0871985 (EIN),,Q173395,https://en.wikipedia.org/wiki/Cisco,https://www.wikidata.org/wiki/Q173395
Tech,Cisco Systems,United States,77-0059951 (EIN),,Q128896,https://en.wikipedia.org/wiki/Advanced_Micro_Devices,https://www.wikidata.org/wiki/Q128896
Tech,AMD,United States,94-1692300 (EIN),,Q544847,https://en.wikipedia.org/wiki/Qualcomm,https://www.wikidata.org/wiki/Q544847
Tech,Qualcomm,United States,95-3685934 (EIN),,Q248,https://en.wikipedia.org/wiki/Intel,https://www.wikidata.org/wiki/Q248
Tech,Intel,United States,94-1672746 (EIN),,Q11463,https://en.wikipedia.org/wiki/Adobe_Inc.,https://www.wikidata.org/wiki/Q11463
Defence,RTX (Raytheon Technologies),USA,06-0570975,"Missile defense (Patriot), Aircraft engines (Pratt & Whitney), Avionics, and Intelligence systems.",Q89368734,https://en.wikipedia.org/wiki/RTX_Corporation,https://www.wikidata.org/wiki/Q89368734
Defence,Safran SA,France,FR09562012257,Propulsion / Equipment,Q1886126,https://en.wikipedia.org/wiki/Safran,https://www.wikidata.org/wiki/Q1886126
Defence,Honeywell,USA,22-2640650 (EIN),"Avionics, Aircraft Engines, Tactical Guidance, Building Automation.",Q898208,https://en.wikipedia.org/wiki/Honeywell,https://www.wikidata.org/wiki/Q898208
Defence,Lockheed Martin,USA,52-1893632 (EIN),"F-35 Fighter Jets, Missiles, Missile Defense (THAAD), Space Systems.",Q7240,https://en.wikipedia.org/wiki/Lockheed_Martin,https://www.wikidata.org/wiki/Q7240
Defence,Rheinmetall AG,Germany,DE133501763,Land Systems / Ammo,Q161544,https://en.wikipedia.org/wiki/Rheinmetall,https://www.wikidata.org/wiki/Q161544
Defence,General Dynamics,USA,52-0545220 (EIN),"Abrams Tanks, Nuclear Submarines (Electric Boat), Gulfstream Jets.",Q502940,https://en.wikipedia.org/wiki/General_Dynamics,https://www.wikidata.org/wiki/Q502940
Defence,Northrop Grumman,USA,95-1055798 (EIN),"B-21 Stealth Bomber, Global Hawk UAVs, Space Technology, Cyber Security.",Q329953,https://en.wikipedia.org/wiki/Northrop_Grumman,https://www.wikidata.org/wiki/Q329953
Defence,BAE Systems PLC,UK,GB454178652,Land / Naval / Air,Q739416,https://en.wikipedia.org/wiki/BAE_Systems,https://www.wikidata.org/wiki/Q739416
Defence,Thales Group,France,FR22552059024,Electronics / Cyber,Q1161666,https://en.wikipedia.org/wiki/Thales_Group,https://www.wikidata.org/wiki/Q1161666
Defence,L3Harris Technologies,USA,34-0276860 (EIN),"Tactical Communications, Electronic Warfare, Satellite Sensors.",Q30291091,https://en.wikipedia.org/wiki/L3Harris_Technologies,https://www.wikidata.org/wiki/Q30291091
Defence,Hindustan Aeronautics,India,29AAACH3641R1Z3 (GSTIN),"Tejas Fighter Jets, Military Helicopters, Engine MRO (Maintenance).",Q357095,https://en.wikipedia.org/wiki/Hindustan_Aeronautics,https://www.wikidata.org/wiki/Q357095
Defence,Leonardo S.p.A.,Italy,IT00881841001,Helicopters / Sensors,Q910379,https://en.wikipedia.org/wiki/Leonardo_S.p.A.,https://www.wikidata.org/wiki/Q910379
Defence,Bharat Electronics,India,24AAACB5985C1ZV (GSTIN),"Radars, Sonars, Naval Systems, Electronic Warfare (EW) suites.",Q3630918,https://en.wikipedia.org/wiki/Bharat_Electronics,https://www.wikidata.org/wiki/Q3630918
Defence,Saab AB,Sweden,SE556036079301,Air / Naval / Subs,Q219501,https://en.wikipedia.org/wiki/Saab_AB,https://www.wikidata.org/wiki/Q219501
Defence,Aselsan,Turkey,0860042250 (VKN),"Communication Tech, Radar & EW, Electro-optics, Remote Weapon Stations.",Q297600,https://en.wikipedia.org/wiki/Aselsan,https://www.wikidata.org/wiki/Q297600
Defence,AeroVironment,USA,95-2705790 (EIN),"Loitering Munitions (Switchblade), Small Unmanned Aircraft (Raven).",Q919300,https://en.wikipedia.org/wiki/AeroVironment,https://www.wikidata.org/wiki/Q919300
Defence,Kratos Defense & Security Solutions,USA,13-3818604,UAVs,Q16858667,https://en.wikipedia.org/wiki/Kratos_Defense_%26_Security_Solutions,https://www.wikidata.org/wiki/Q16858667
Defence,Hensoldt AG,Germany,DE313434689,Optronics / Radar,Q21236526,https://en.wikipedia.org/wiki/Hensoldt,https://www.wikidata.org/wiki/Q21236526
Defence,Huntington Ingalls Industries,USA,90-0607005 (EIN),Largest US military shipbuilder (Aircraft carriers and submarines).,Q7257522,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries,https://www.wikidata.org/wiki/Q7257522
Defence,Indra Sistemas,Spain,ESA28599033,Defense IT / Radar,Q1661823,https://en.wikipedia.org/wiki/Indra_Sistemas,https://www.wikidata.org/wiki/Q1661823
Defence,Airbus SE,Netherlands,NL007646147B01,Aerospace / Missiles,,,
Defence,Rolls-Royce Holdings,UK,GB135249673,Engines / Nuclear,,,
Defence,Dassault Aviation,France,FR01712034157,Fighter Jets (Rafale),,,
Defence,Kongsberg Gruppen,Norway,NO912423386,Naval / Missiles,,,
Defence,MTU Aero Engines,Germany,DE811175657,Military Engines,,,
Defence,MBDA,France,FR80414777558,Missile Systems,,,
Defence,Naval Group,France,FR32441133913,Naval / Submarines,,,
Defence,KNDS (KMW+Nexter),Netherlands,NL855610816B01,Main Battle Tanks,,,
Defence,Babcock International,UK,GB341235123,Naval Support,,,
Defence,Fincantieri S.p.A.,Italy,IT00642920322,Shipbuilding,,,
Defence,QinetiQ Group,UK,GB752718160,Defense R&D / Tech,,,
Defence,ThyssenKrupp Marine,Germany,DE811124479,Submarines (TKMS),,,
Defence,Focker Services,Netherlands,NL814234033B01,Aerostructures,,,
Defence,Melrose Industries,UK,GB852106725,Aerospace Components,,,
Defence,Exxelia,France,FR38341607593,Electronics,,,
Defence,Diehl Stiftung,Germany,DE133501323,Missiles / Land,,,
Defence,Colt CZ Group,Czech Rep.,CZ29159056,Small Arms,,,
Defence,Patria Group,Finland,FI01124204,Armored Vehicles,,,
Defence,Chemring Group,UK,GB238510834,Sensors / Energetics,,,
Defence,Czechoslovak Group,Czech Rep.,CZ03487042,Land Systems / Ammo,,,
Defence,PGZ (Polish Armaments),Poland,PL5252571253,National Defense,,,
Defence,Nammo AS,Norway,NO979512328,Ammo / Rockets,,,
Defence,Elbit Systems,Israel,511051515,"UAVs (Hermes), Avionics, Land Systems, Cyber.",,,
Defence,Israel Aerospace Industries (IAI),Israel,520023611,"Missile Defense (Arrow), Satellites, Aviation MRO.",,,
Defence,Rafael Advanced Defense Systems,Israel,511252931,"Missile Systems (Iron Dome, Spike), Active Protection.",,,
Defence,Israel Military Industries (IMI),Israel,520021672,"Munitions, Tank Armament, Small Arms.",,,
Defence,Plasan,Israel,510931221,Survivability and Armored Vehicle protection.,,,
Defence,Turkish Aerospace (TAI),Turkey,8790011854,"Fighters (KAAN), Helicopters (ATAK), UAVs (Anka).",,,
Defence,Baykar Tech,Turkey,1510041113,"Combat UAVs (Bayraktar TB2, Akıncı, Kızılelma).",,,
Defence,Roketsan,Turkey,7350033107,"Missiles, Rockets, Guided Munitions.",,,
Defence,Havelsan,Turkey,4600004901,"Software, Command & Control (C4ISR), Simulators.",,,
Defence,Almaz-Antey,Russia,7708182962,S-400/S-500 Surface-to-Air Missile Systems.,,,
Defence,United Aircraft Corp (UAC),Russia,7708619320,"Sukhoi and MiG Fighter Jets, Strategic Bombers.",,,
Defence,Uralvagonzavod,Russia,6623029350,"Main Battle Tanks (T-90, T-14 Armata).",,,
Defence,United Shipbuilding Corp (USC),Russia,7805432655,Nuclear Submarines and Surface Vessels.,,,
Defence,Tactical Missiles Corp (KTRV),Russia,5018078513,Precision-guided cruise and anti-ship missiles.,,,
Defence,AVIC,China,91110000710935393L,"Military Aircraft (J-20, J-10), Transport, Engines.",,,
Defence,NORINCO,China,91110000100001046A,"Land Systems, Tanks, Artillery, Small Arms.",,,
Defence,CASIC,China,9111000010000102XG,"Missiles (HQ-9, DF-series), Space Tech, Radars.",,,
Defence,CASC,China,911100001000116630,"Strategic Missiles, Rockets, Satellite Systems.",,,
Defence,CSSC,China,91310000717833182Y,"World's largest shipbuilder; Carriers, Subs, Frigates.",,,
Mining,Albemarle Corp,USA,54-1692118 (EIN),Lithium,,,
Mining,SQM,Chile,93.007.000-9 (RUT),Lithium,,,
Mining,Ganfeng Lithium,China,913605007191146603 (USCC),Lithium,,,
Mining,Tianqi Lithium,China,915109002063604028 (USCC),Lithium,,,
Mining,Rio Tinto Lithium,Australia/UK,96 004 458 404 (ABN),Lithium,,,
Mining,Mineral Resources,Australia,33 118 549 910 (ABN),Lithium,,,
Mining,Pilbara Minerals,Australia,44 675 885 515 (ABN),Lithium,,,
Mining,Sichuan Yahua,China,91510000727497163M (USCC),Lithium,,,
Mining,Sigma Lithium,Brazil,16.482.121/0002-38 (CNPJ),Lithium,,,
Mining,Liontown Resources,Australia,39 118 153 825 (ABN),Lithium,,,
Mining,Codelco,Cile,61.703.000-4 (RUT),Copper,,,
Mining,Freeport-McMoRan,USA,74-1325110 (EIN),Copper,,,
Mining,BHP Group,Australia,49 004 028 077 (ABN),Copper,,,
Mining,Glencore,Svizzera,CHE-116.277.103 (VAT),Copper,,,
Mining,Zijin Mining,Cina,91350000155042221X (USCC),Copper,,,
Mining,Southern Copper,USA/Perù,13-3849074 (EIN),Copper,,,
Mining,Rio Tinto,UK/Australia,96 004 458 404 (ABN),Copper,,,
Mining,KGHM Polska Miedź,Polonia,PL6920000013 (VAT),Copper,,,
Mining,Anglo American,UK,GB 805 2374 88 (VAT),Copper,,,
Mining,First Quantum,Canada,12613-2550-RT0001 (BN),Copper,,,
Mining,Tongwei Co.,Cina,91510000201913164M (USCC),Silicon,,,
Mining,Wacker Chemie,Germania,DE128944933 (VAT),Silicon,,,
Mining,GCL Technology,Cina,91320500785867375H (USCC),Silicon,,,
Mining,Daqo New Energy,Cina,9131000066935314X3 (USCC),Silicon,,,
Mining,Elkem ASA,Norvegia,NO911382008 (VAT),Silicon,,,
Mining,Ferroglobe,UK/Spagna,ESA15003666 (VAT),Silicon,,,
Mining,Xinte Energy,Cina,91650100670233066H (USCC),Silicon,,,
Mining,Hemlock Semiconductor,USA,38-1647413 (EIN),Silicon,,,
Mining,Hoshine Silicon,Cina,91330400782386349H (USCC),Silicon,,,
Mining,Mitsubishi Materials,Giappone,7010001008767 (TID),Silicon,,,
Mining,China Northern Rare Earth,Cina,911502007014631349 (USCC),Neodimio,,,
Mining,MP Materials,USA,82-1327150 (EIN),Neodimio,,,
Mining,Lynas Rare Earths,Australia,27 009 066 648 (ABN),Neodimio,,,
Mining,China Minmetals,Cina,91110000101683015B (USCC),Neodimio,,,
Mining,Shenghe Resources,Cina,91510000201889851F (USCC),Neodimio,,,
Mining,Neo Performance Mat.,Canada,10003-8276-RT0001 (BN),Neodimio,,,
Mining,Arafura Rare Earths,Australia,22 080 933 455 (ABN),Neodimio,,,
Mining,Chinalco Rare Earth,Cina,91110000710928925H (USCC),Neodimio,,,
Mining,Iluka Resources,Australia,34 008 675 803 (ABN),Neodimio,,,
Mining,Indian Rare Earths (IREL),India,33AAACI0124F1ZO (GSTIN),Neodimio,,,
Mining,Chinalco (Gallium),Cina,91110000710928925H (USCC),Gallium,,,
Mining,Vital Materials,Cina,91440101741873138N (USCC),Gallium,,,
Mining,Dowa Holdings,Giappone,3010001037341 (TID),Gallium,,,
Mining,Umicore,Belgio,BE0401574852 (VAT),Gallium,,,
Mining,Recylex,Francia,FR53428751522 (VAT),Gallium,,,
Mining,Neo Performance (Gallium),Canada,10003-8276-RT0001 (BN),Gallium,,,
Mining,American Elements,USA,95-4672725 (EIN),Gallium,,,
Mining,Zhuzhou Smelter Group,Cina,9143020072255745XG (USCC),Gallium,,,
Mining,Alcoa Corporation,USA,81-1153200 (EIN),Gallium,,,
Mining,Indium Corporation,USA,15-0210510 (EIN),Gallium,,,
Mining,KoBold Metals Co.,USA,US 1907824,Use of AI to find metals,,,
Defence,Amesys SAS,France,FR54 487754129,"formerly a subsidiary of the French group Bull SA. In 2012, its surveillance division (the ""Eagle"" system) was sold to Nexa Technologies",,,
Defence,Nexa Technologies,France,FR31 750439374,"formed largely by former Amesys executives and took over the ""Eagle"" surveillance software. It has frequently operated in tandem with a Dubai-based entity called Advanced Middle East Systems",,,
Defence,Eviden,France,FR74 433002011,"brand launched by the Atos Group in 2023 to house its ""Big Data and Security"" (BDS) activities, including what remains of the original Amesys business (now modernized into cybersecurity and high-performance computing)",,,
Defence,Advanced Middle East Systems (AMES),EAU (Dubai),,"partner/distributor for Nexa Technologies in the Middle East and Africa, often cited in investigative reports as the vehicle used to sell the ""Eagle"" (and later ""Cerebro"") systems to regimes like Egypt",,,